enrollee_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,target_label,experience_num,last_new_job_num,company_size_num,experience_group,city_group,training_group,job_change_flag
4167,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,0,Stay,1,0,3,Entry,High,Very High,No
5764,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0,Stay,2,2,7,Junior,Medium,Low,No
2156,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,1,Job Change,7,0,8,Mid,Medium,Low,Yes
11399,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,Unknown,Unknown,1,132,1,Job Change,4,1,4,Junior,High,Very High,Yes
31972,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0,Stay,11,1,4,Senior,High,High,No
19061,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0,Stay,11,2,4,Senior,High,Medium,No
6491,city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,10,Unknown,Unknown,1,48,0,Stay,10,1,4,Mid,High,Medium,No
7041,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0,Stay,0,1,6,Entry,High,High,No
22767,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0,Stay,5,1,6,Junior,Medium,Low,No
14505,city_67,0.855,Unknown,No relevent experience,no_enrollment,High School,Unknown,4,Unknown,Unknown,never,22,0,Stay,4,0,4,Junior,High,Low,No
17139,city_21,0.624,Unknown,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1,Job Change,14,1,5,Senior,Medium,Very High,Yes
28476,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,Unknown,Unknown,2,72,0,Stay,5,2,4,Junior,High,High,No
21538,city_100,0.887,Male,Has relevent experience,no_enrollment,High School,Unknown,11,<10,Pvt Ltd,1,8,1,Job Change,11,1,1,Senior,High,Low,Yes
10408,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1,Job Change,18,2,3,Senior,Medium,High,Yes
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0,Stay,21,3,4,Senior,High,Medium,No
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0,Stay,19,5,7,Senior,High,Very High,No
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,Unknown,Unknown,1,24,0,Stay,5,1,4,Junior,High,Low,No
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0,Stay,21,5,4,Senior,High,High,No
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0,Stay,12,3,7,Senior,High,Very High,No
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,2,206,0,Stay,10,2,2,Mid,High,Very High,No
12726,city_114,0.926,Male,No relevent experience,Part time course,High School,Unknown,1,10000+,Other,1,152,0,Stay,1,1,8,Entry,High,Very High,No
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1,Job Change,21,4,4,Senior,High,Medium,Yes
8612,city_103,0.92,Unknown,No relevent experience,no_enrollment,Graduate,STEM,12,Unknown,Unknown,4,50,0,Stay,12,4,4,Senior,High,Medium,No
24659,city_71,0.884,Male,No relevent experience,no_enrollment,Unknown,Unknown,3,Unknown,Unknown,never,106,0,Stay,3,0,4,Junior,High,Very High,No
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0,Stay,16,2,6,Senior,High,Low,No
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,Unknown,4,10/49,Pvt Ltd,2,36,0,Stay,4,2,2,Junior,High,Medium,No
31654,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1,Job Change,6,1,3,Mid,Medium,Very High,Yes
13643,city_64,0.6659999999999999,Unknown,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,0,Stay,9,0,3,Mid,Medium,Very High,No
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1,Job Change,9,3,7,Mid,Medium,Low,Yes
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,Unknown,Unknown,never,26,1,Job Change,5,0,4,Junior,Medium,Medium,Yes
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1,Job Change,5,0,4,Junior,Medium,High,Yes
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1,Job Change,19,4,8,Senior,High,High,Yes
4476,city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,Unknown,Unknown,>4,20,1,Job Change,15,5,4,Senior,Low,Low,Yes
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,1,21,0,Stay,11,1,2,Senior,High,Low,No
5568,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,Unknown,Unknown,1,92,1,Job Change,4,1,4,Junior,Low,High,Yes
2195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0,Stay,10,2,4,Mid,Medium,Very High,No
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0,Stay,5,5,8,Junior,High,Medium,No
28512,city_104,0.924,Unknown,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0,Stay,3,2,1,Junior,High,Low,No
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,Unknown,4,10000+,Pvt Ltd,1,43,0,Stay,4,1,8,Junior,High,Medium,No
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0,Stay,21,1,4,Senior,High,Medium,No
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0,Stay,2,2,3,Junior,High,High,No
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,2,19,0,Stay,21,2,4,Senior,High,Low,No
13478,city_21,0.624,Unknown,Has relevent experience,Full time course,Graduate,STEM,2,10/49,Funded Startup,,32,1,Job Change,2,1,2,Junior,Medium,Medium,Yes
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1,Job Change,21,5,4,Senior,High,Medium,Yes
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,Unknown,Unknown,1,90,0,Stay,6,1,4,Mid,High,High,No
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0,Stay,6,3,4,Mid,High,Low,No
24690,city_41,0.8270000000000001,Unknown,Has relevent experience,Unknown,Masters,STEM,13,<10,Unknown,1,15,0,Stay,13,1,1,Senior,High,Low,No
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0,Stay,21,5,4,Senior,High,Medium,No
9572,city_11,0.55,Unknown,No relevent experience,Full time course,High School,Unknown,3,Unknown,Unknown,,98,0,Stay,3,1,4,Junior,Low,High,No
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1,Job Change,10,2,3,Mid,High,Very High,Yes
25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0,Stay,4,4,8,Junior,High,Low,No
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Unknown,Unknown,>4,47,0,Stay,15,5,4,Senior,High,Medium,No
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0,Stay,14,1,5,Senior,High,Medium,No
4830,city_90,0.698,Unknown,No relevent experience,Unknown,Unknown,Unknown,2,Unknown,Pvt Ltd,never,228,1,Job Change,2,0,4,Junior,Medium,Very High,Yes
20970,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,4,22,0,Stay,21,4,4,Senior,Medium,Low,No
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,Unknown,Unknown,never,18,1,Job Change,0,0,4,Entry,Medium,Low,Yes
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,29,0,Stay,2,1,2,Junior,High,Medium,No
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Unknown,1,46,0,Stay,5,1,4,Junior,High,Medium,No
29117,city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,<1,Unknown,Unknown,never,12,0,Stay,0,0,4,Entry,Low,Low,No
3686,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0,Stay,5,2,4,Junior,High,Low,No
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0,Stay,5,2,3,Junior,High,High,No
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0,Stay,3,1,4,Junior,High,Medium,No
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0,Stay,9,3,8,Mid,High,Low,No
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0,Stay,2,1,1,Junior,High,Low,No
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0,Stay,15,5,3,Senior,High,Low,No
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0,Stay,21,2,3,Senior,High,Very High,No
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,1,136,0,Stay,21,1,4,Senior,High,Very High,No
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Unknown,1,27,0,Stay,5,1,2,Junior,High,Medium,No
5902,city_20,0.7959999999999999,Unknown,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0,Stay,4,1,3,Junior,High,High,No
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Early Stage Startup,1,86,0,Stay,15,1,2,Senior,High,High,No
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,<1,10/49,Pvt Ltd,2,83,0,Stay,0,2,2,Entry,High,High,No
28751,city_103,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,4,Unknown,Unknown,3,75,0,Stay,4,3,4,Junior,High,High,No
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,Unknown,Public Sector,2,42,0,Stay,11,2,4,Senior,Medium,Medium,No
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Unknown,1,332,0,Stay,6,1,4,Mid,High,Very High,No
19128,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,Unknown,Unknown,,140,0,Stay,4,1,4,Junior,High,Very High,No
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,Unknown,3,Unknown,Unknown,never,182,0,Stay,3,0,4,Junior,High,Very High,No
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1,Job Change,3,1,4,Junior,High,Low,Yes
10497,city_19,0.682,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,2,172,1,Job Change,5,2,2,Junior,Medium,Very High,Yes
18099,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0,Stay,10,1,4,Mid,High,Medium,No
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0,Stay,9,1,3,Mid,High,Medium,No
7364,city_160,0.92,Unknown,No relevent experience,Full time course,High School,Unknown,2,100-500,Pvt Ltd,1,142,0,Stay,2,1,4,Junior,High,Very High,No
11184,city_74,0.579,Unknown,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0,Stay,2,1,4,Junior,Low,Medium,No
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1,Job Change,6,2,3,Mid,High,Low,Yes
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,27,1,Job Change,6,2,2,Mid,Low,Medium,Yes
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1,Job Change,8,1,4,Mid,Low,Low,Yes
14672,city_173,0.878,Unknown,No relevent experience,no_enrollment,Masters,STEM,>20,Unknown,Unknown,1,150,0,Stay,21,1,4,Senior,High,Very High,No
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0,Stay,11,5,5,Senior,High,Low,No
24493,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,Unknown,1,140,0,Stay,5,1,5,Junior,High,Very High,No
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0,Stay,12,1,7,Senior,High,High,No
28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0,Stay,21,2,3,Senior,High,Very High,No
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0,Stay,9,2,7,Mid,High,Low,No
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1,Job Change,2,2,1,Junior,Medium,Low,Yes
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0,Stay,21,5,6,Senior,High,Medium,No
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,Unknown,Unknown,4,46,0,Stay,21,4,4,Senior,High,Medium,No
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0,Stay,8,1,3,Mid,High,Very High,No
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0,Stay,10,1,1,Mid,High,Medium,No
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,Unknown,Unknown,1,160,1,Job Change,4,1,4,Junior,High,Very High,Yes
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,10/49,NGO,2,101,0,Stay,2,2,2,Junior,Medium,Very High,No
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Unknown,1,46,0,Stay,6,1,3,Mid,High,Medium,No
20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0,Stay,21,5,6,Senior,High,Low,No
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1,Job Change,3,2,4,Junior,Medium,Medium,Yes
21199,city_90,0.698,Unknown,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,0,Stay,7,1,1,Mid,Medium,High,No
18819,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0,Stay,9,4,1,Mid,High,High,No
14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0,Stay,10,1,3,Mid,High,Very High,No
7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0,Stay,11,5,3,Senior,Medium,High,No
13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1,Job Change,21,2,4,Senior,High,Low,Yes
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0,Stay,12,2,4,Senior,High,Low,No
16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0,Stay,6,1,4,Mid,High,Very High,No
32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,Unknown,Unknown,1,45,0,Stay,7,1,4,Mid,High,Medium,No
13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,2,109,0,Stay,11,2,2,Senior,Medium,Very High,No
15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0,Stay,3,1,4,Junior,High,High,No
28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0,Stay,21,5,4,Senior,High,Low,No
23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0,Stay,15,1,3,Senior,High,High,No
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1,Job Change,6,3,3,Mid,High,High,Yes
3921,city_36,0.893,Unknown,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0,Stay,21,5,6,Senior,High,Low,No
24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0,Stay,12,5,4,Senior,High,Low,No
1924,city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0,Stay,21,3,4,Senior,High,Very High,No
32776,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,Unknown,Unknown,4,290,0,Stay,20,4,4,Senior,Medium,Very High,No
1907,city_102,0.804,Male,No relevent experience,no_enrollment,High School,Unknown,2,<10,NGO,never,145,0,Stay,2,0,1,Junior,High,Very High,No
23947,city_103,0.92,Unknown,No relevent experience,no_enrollment,Phd,STEM,,Unknown,Unknown,,70,0,Stay,9,1,4,Mid,High,High,No
3116,city_21,0.624,Male,No relevent experience,no_enrollment,Unknown,Unknown,3,Unknown,Unknown,1,24,0,Stay,3,1,4,Junior,Medium,Low,No
24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1,Job Change,3,1,8,Junior,High,Very High,Yes
30488,city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,2,Unknown,Unknown,1,20,0,Stay,2,1,4,Junior,Low,Low,No
1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0,Stay,10,1,1,Mid,High,High,No
22098,city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,Unknown,Unknown,4,21,1,Job Change,5,4,4,Junior,Medium,Low,Yes
13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0,Stay,8,2,7,Mid,Medium,Medium,No
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0,Stay,9,2,1,Mid,High,Low,No
20081,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,>4,156,0,Stay,21,5,4,Senior,High,Very High,No
24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0,Stay,21,5,7,Senior,High,Low,No
7777,city_114,0.926,Unknown,Has relevent experience,no_enrollment,Masters,STEM,>20,Unknown,Unknown,never,120,0,Stay,21,0,4,Senior,High,Very High,No
22718,city_157,0.769,Unknown,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,Unknown,>4,47,0,Stay,14,5,8,Senior,High,Medium,No
1261,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,Unknown,Unknown,2,100,1,Job Change,12,2,4,Senior,High,High,Yes
3396,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,0,Stay,6,0,5,Mid,High,Very High,No
4283,city_103,0.92,Male,No relevent experience,no_enrollment,High School,Unknown,4,Unknown,Unknown,never,52,0,Stay,4,0,4,Junior,High,High,No
18998,city_114,0.926,Unknown,Has relevent experience,no_enrollment,High School,Unknown,9,10/49,Unknown,4,39,0,Stay,9,4,2,Mid,High,Medium,No
2003,city_103,0.92,Male,Has relevent experience,Full time course,High School,Unknown,4,Unknown,Unknown,1,112,1,Job Change,4,1,4,Junior,High,Very High,Yes
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0,Stay,21,5,3,Senior,High,Low,No
8241,city_16,0.91,Unknown,Has relevent experience,no_enrollment,Unknown,Unknown,11,Unknown,Unknown,1,4,0,Stay,11,1,4,Senior,High,Low,No
12154,city_16,0.91,Unknown,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0,Stay,21,5,6,Senior,High,High,No
23455,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1,Job Change,6,4,8,Mid,Medium,Medium,Yes
19882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Unknown,Unknown,>4,72,0,Stay,15,5,4,Senior,High,High,No
28817,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1,Job Change,14,3,7,Senior,High,Very High,Yes
4656,city_114,0.926,Male,No relevent experience,no_enrollment,High School,Unknown,6,Unknown,Pvt Ltd,never,28,0,Stay,6,0,4,Mid,High,Medium,No
7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0,Stay,13,1,8,Senior,High,Low,No
16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0,Stay,17,1,7,Senior,High,Very High,No
13333,city_75,0.939,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,>20,Unknown,Unknown,never,326,0,Stay,21,0,4,Senior,High,Very High,No
26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0,Stay,21,2,4,Senior,High,Medium,No
12381,city_102,0.804,Unknown,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0,Stay,6,5,8,Mid,High,Medium,No
4064,city_160,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,18,Unknown,Unknown,1,198,1,Job Change,18,1,4,Senior,High,Very High,Yes
32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0,Stay,15,5,8,Senior,High,High,No
3766,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0,Stay,21,5,5,Senior,Medium,Medium,No
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0,Stay,21,5,4,Senior,High,Low,No
7189,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0,Stay,21,1,1,Senior,High,Medium,No
29497,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1,Job Change,21,5,8,Senior,High,High,Yes
31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0,Stay,10,4,4,Mid,High,Very High,No
