Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
19,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,0.07,19224,6.08,New York,French,182,5798,1,Foodies,1/19/2021
20,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,0.09,10258,3.83,Miami,French,193,3677,1,Tech Enthusiasts,1/20/2021
21,DataTech Solutions,Search,Women 25-34,15 days,Email,0.04,16580,7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,1/21/2021
22,TechCorp,Influencer,All Ages,30 days,Facebook,0.02,12824,6.21,New York,French,319,8586,2,Foodies,1/22/2021
23,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.13,8699,2.12,Miami,French,646,3841,5,Health & Wellness,1/23/2021
24,Innovate Industries,Email,Women 25-34,15 days,Facebook,0.04,17608,7.31,Miami,Spanish,764,2157,8,Health & Wellness,1/24/2021
25,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,0.07,8773,6.03,Miami,Mandarin,527,1733,1,Fashionistas,1/25/2021
26,NexGen Systems,Search,Women 25-34,45 days,Instagram,0.04,14756,6.23,Houston,English,809,8236,10,Health & Wellness,1/26/2021
27,Alpha Innovations,Email,Women 25-34,45 days,Facebook,0.09,9182,6.03,Houston,English,953,6916,5,Fashionistas,1/27/2021
28,TechCorp,Email,Men 25-34,30 days,YouTube,0.07,6601,3.29,New York,Spanish,604,2420,3,Foodies,1/28/2021
29,TechCorp,Influencer,Men 18-24,60 days,Email,0.09,11552,7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,1/29/2021
30,TechCorp,Social Media,Women 25-34,30 days,Email,0.09,11608,3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,1/30/2021
31,Innovate Industries,Search,Men 25-34,45 days,Instagram,0.07,13124,2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,1/31/2021
32,NexGen Systems,Influencer,All Ages,45 days,YouTube,0.07,13245,6.83,New York,English,309,2885,7,Foodies,2/1/2021
33,NexGen Systems,Display,Women 35-44,45 days,Email,0.06,5796,4.42,New York,Spanish,367,3218,9,Foodies,2/2/2021
34,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.14,15082,2.71,Los Angeles,German,243,5724,4,Health & Wellness,2/3/2021
35,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,0.07,18332,7.81,Houston,Spanish,360,5349,6,Fashionistas,2/4/2021
36,TechCorp,Display,Men 25-34,60 days,Instagram,0.09,13256,2.51,Miami,German,250,7373,3,Health & Wellness,2/5/2021
37,DataTech Solutions,Display,All Ages,45 days,Email,0.04,15779,7.24,New York,Spanish,822,7152,1,Foodies,2/6/2021
38,Innovate Industries,Influencer,Men 18-24,60 days,Facebook,0.06,7683,2.62,Houston,French,833,9772,8,Tech Enthusiasts,2/7/2021
39,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.11,14742,2.21,Chicago,Spanish,663,9473,10,Tech Enthusiasts,2/8/2021
40,Innovate Industries,Search,Men 18-24,45 days,Google Ads,0.08,15495,6.97,Chicago,German,268,5495,6,Fashionistas,2/9/2021
41,DataTech Solutions,Social Media,All Ages,30 days,Website,0.04,18684,4.57,New York,French,212,4718,4,Foodies,2/10/2021
42,Alpha Innovations,Search,Men 25-34,45 days,Email,0.01,13096,3.44,Los Angeles,French,360,2776,1,Foodies,2/11/2021
43,Innovate Industries,Display,Men 25-34,60 days,Instagram,0.09,7818,5.6,Houston,French,598,8637,5,Fashionistas,2/12/2021
44,Innovate Industries,Display,All Ages,30 days,Instagram,0.09,8214,4.77,Chicago,English,988,1612,5,Fashionistas,2/13/2021
45,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,0.04,6882,3.31,Miami,English,282,8038,7,Tech Enthusiasts,2/14/2021
46,NexGen Systems,Display,Women 35-44,60 days,Google Ads,0.03,13470,6.8,Miami,English,992,8036,8,Health & Wellness,2/15/2021
47,DataTech Solutions,Search,Men 25-34,60 days,YouTube,0.06,14948,7.4,New York,French,903,3940,3,Foodies,2/16/2021
48,Innovate Industries,Social Media,Men 18-24,60 days,Instagram,0.04,15255,3.8,Chicago,French,629,1824,3,Health & Wellness,2/17/2021
49,TechCorp,Display,All Ages,60 days,Facebook,0.1,9510,5.25,Houston,French,190,2071,4,Tech Enthusiasts,2/18/2021
50,TechCorp,Social Media,Women 25-34,45 days,Email,0.11,7521,3.98,Los Angeles,German,150,7377,8,Tech Enthusiasts,2/19/2021
51,NexGen Systems,Search,Men 25-34,60 days,Facebook,0.12,10405,5.79,Los Angeles,French,134,8463,9,Foodies,2/20/2021
52,NexGen Systems,Search,Men 25-34,15 days,Website,0.1,15955,6.48,Houston,French,657,9831,7,Foodies,2/21/2021
53,TechCorp,Email,Men 18-24,30 days,Facebook,0.13,15428,7.62,Houston,French,385,4937,6,Tech Enthusiasts,2/22/2021
54,NexGen Systems,Display,Women 35-44,45 days,YouTube,0.02,19832,3.35,New York,English,537,4739,9,Outdoor Adventurers,2/23/2021
55,NexGen Systems,Social Media,Men 18-24,30 days,YouTube,0.05,17375,6.15,Miami,Spanish,450,6012,7,Foodies,2/24/2021
56,NexGen Systems,Display,Men 25-34,15 days,Website,0.13,8903,3.7,Miami,English,178,8529,9,Health & Wellness,2/25/2021
57,NexGen Systems,Email,Women 35-44,15 days,Website,0.04,14511,6.66,Chicago,English,164,2122,8,Foodies,2/26/2021
58,Innovate Industries,Email,Men 18-24,60 days,Email,0.06,17305,2.7,New York,French,569,1850,2,Fashionistas,2/27/2021
59,Alpha Innovations,Email,Women 25-34,45 days,Email,0.04,18063,4.93,Chicago,English,330,6920,6,Foodies,2/28/2021
60,Innovate Industries,Display,Men 25-34,15 days,Email,0.05,10293,6.8,Miami,French,256,3421,9,Health & Wellness,3/1/2021
61,DataTech Solutions,Email,Men 25-34,45 days,Email,0.05,8785,2.27,New York,German,849,9217,5,Fashionistas,3/2/2021
62,TechCorp,Email,Men 25-34,30 days,Email,0.09,13848,5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,3/3/2021
63,Innovate Industries,Influencer,Women 35-44,60 days,Email,0.01,14435,7.04,Houston,Mandarin,592,3596,4,Foodies,3/4/2021
64,NexGen Systems,Search,Men 18-24,30 days,Facebook,0.02,14001,3.71,Chicago,English,201,8702,10,Outdoor Adventurers,3/5/2021
65,DataTech Solutions,Display,All Ages,45 days,Website,0.11,8841,7.43,Houston,French,648,9122,9,Fashionistas,3/6/2021
66,NexGen Systems,Search,All Ages,60 days,YouTube,0.04,11366,7.28,Los Angeles,Mandarin,187,5048,8,Health & Wellness,3/7/2021
67,Alpha Innovations,Display,Women 25-34,30 days,YouTube,0.07,12910,6.33,Miami,Spanish,839,5569,7,Foodies,3/8/2021
68,TechCorp,Search,Women 25-34,60 days,YouTube,0.12,7823,2.72,New York,Mandarin,240,2512,6,Tech Enthusiasts,3/9/2021
69,TechCorp,Display,All Ages,15 days,Facebook,0.03,11864,7.98,Chicago,French,932,9973,9,Tech Enthusiasts,3/10/2021
70,Innovate Industries,Email,All Ages,15 days,Facebook,0.1,17414,4.74,Los Angeles,German,694,2836,2,Foodies,3/11/2021
71,Alpha Innovations,Search,Men 25-34,30 days,Website,0.13,18201,5.58,New York,German,202,6745,8,Tech Enthusiasts,3/12/2021
72,Alpha Innovations,Social Media,All Ages,15 days,Email,0.03,9549,5.61,Chicago,French,416,9187,7,Health & Wellness,3/13/2021
73,TechCorp,Social Media,Women 35-44,15 days,YouTube,0.13,16635,7.46,Miami,English,576,9999,10,Health & Wellness,3/14/2021
74,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.1,9310,5.63,New York,German,300,3687,9,Foodies,3/15/2021
75,NexGen Systems,Display,All Ages,15 days,YouTube,0.11,5158,6.67,Chicago,German,776,4238,3,Health & Wellness,3/16/2021
76,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.04,15182,2.03,Houston,English,492,7364,2,Fashionistas,3/17/2021
77,Innovate Industries,Display,Men 18-24,45 days,Google Ads,0.08,5703,3.23,Chicago,German,763,8501,10,Foodies,3/18/2021
78,Innovate Industries,Search,Women 35-44,60 days,Google Ads,0.02,12008,4.82,Miami,Spanish,817,7892,2,Health & Wellness,3/19/2021
79,NexGen Systems,Display,Women 35-44,45 days,Google Ads,0.13,15850,7.74,New York,Spanish,791,3594,4,Outdoor Adventurers,3/20/2021
80,Alpha Innovations,Influencer,Women 25-34,30 days,Email,0.1,9813,6.57,Miami,French,737,9941,6,Fashionistas,3/21/2021
81,Innovate Industries,Influencer,Women 35-44,60 days,Google Ads,0.14,19300,7.62,Miami,Mandarin,159,3643,1,Outdoor Adventurers,3/22/2021
82,NexGen Systems,Social Media,Women 25-34,45 days,YouTube,0.12,17772,6.33,New York,English,913,1921,5,Foodies,3/23/2021
83,Innovate Industries,Influencer,Women 25-34,60 days,Facebook,0.1,17293,3.74,Houston,Spanish,238,8969,6,Outdoor Adventurers,3/24/2021
84,NexGen Systems,Search,All Ages,60 days,YouTube,0.08,8398,3.99,Miami,English,134,3108,1,Health & Wellness,3/25/2021
85,Alpha Innovations,Influencer,Women 35-44,60 days,Email,0.15,15866,2.3,Houston,French,159,2139,10,Health & Wellness,3/26/2021
86,TechCorp,Social Media,All Ages,30 days,YouTube,0.13,7515,7.38,Houston,Mandarin,635,8489,3,Foodies,3/27/2021
87,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.15,19026,2.22,Miami,Mandarin,187,2573,10,Fashionistas,3/28/2021
88,TechCorp,Search,Men 18-24,60 days,Facebook,0.14,8280,7.89,New York,German,537,3042,1,Outdoor Adventurers,3/29/2021
89,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,0.1,18251,4.41,New York,Spanish,597,8117,6,Tech Enthusiasts,3/30/2021
90,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,13108,2.01,Houston,German,550,3839,7,Tech Enthusiasts,3/31/2021
91,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,0.09,15477,6.98,Houston,English,956,9087,3,Foodies,4/1/2021
92,TechCorp,Email,Men 25-34,45 days,Email,0.09,17705,7,New York,Spanish,628,9545,4,Outdoor Adventurers,4/2/2021
93,Innovate Industries,Display,Women 35-44,15 days,Instagram,0.05,18470,2.57,Chicago,English,938,7879,10,Fashionistas,4/3/2021
94,NexGen Systems,Display,Men 25-34,45 days,Instagram,0.01,14438,7.19,New York,French,147,6497,10,Health & Wellness,4/4/2021
95,NexGen Systems,Search,Men 18-24,45 days,Facebook,0.08,6278,4.93,Miami,German,776,4289,8,Foodies,4/5/2021
96,TechCorp,Social Media,All Ages,15 days,Email,0.08,5185,4.61,New York,French,108,9532,1,Tech Enthusiasts,4/6/2021
97,Innovate Industries,Email,Women 25-34,15 days,Instagram,0.14,18799,3.69,Miami,French,395,6079,8,Health & Wellness,4/7/2021
98,Alpha Innovations,Search,All Ages,60 days,Facebook,0.04,7365,7.96,New York,French,419,4484,1,Fashionistas,4/8/2021
99,Alpha Innovations,Search,All Ages,60 days,Instagram,0.02,6565,3.12,New York,French,463,6061,8,Foodies,4/9/2021
100,TechCorp,Display,All Ages,60 days,Facebook,0.09,9022,5.58,Miami,Spanish,521,2572,4,Tech Enthusiasts,4/10/2021
101,NexGen Systems,Search,Men 25-34,45 days,YouTube,0.07,18735,4.86,Los Angeles,Spanish,706,8715,6,Foodies,4/11/2021
102,TechCorp,Search,Men 18-24,45 days,YouTube,0.09,9941,4.54,Chicago,English,207,8334,4,Tech Enthusiasts,4/12/2021
103,DataTech Solutions,Influencer,Men 18-24,60 days,Website,0.08,10113,6.87,Houston,English,583,1005,3,Health & Wellness,4/13/2021
104,DataTech Solutions,Social Media,Men 18-24,15 days,Facebook,0.1,8310,7.17,Chicago,Spanish,864,6841,3,Tech Enthusiasts,4/14/2021
105,DataTech Solutions,Influencer,Men 18-24,30 days,Google Ads,0.06,15073,2.17,Los Angeles,English,387,8035,2,Health & Wellness,4/15/2021
106,Innovate Industries,Social Media,Women 25-34,30 days,Email,0.09,7541,3.35,Chicago,Spanish,560,3439,7,Fashionistas,4/16/2021
107,TechCorp,Influencer,Men 25-34,45 days,Google Ads,0.11,14875,6.5,New York,German,306,1560,3,Health & Wellness,4/17/2021
108,TechCorp,Email,All Ages,45 days,Email,0.06,5514,7.32,Miami,German,740,4550,1,Outdoor Adventurers,4/18/2021
109,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.05,15107,4.79,Houston,Spanish,115,1475,10,Fashionistas,4/19/2021
110,Innovate Industries,Social Media,Women 25-34,15 days,YouTube,0.1,13712,6.4,Chicago,English,366,3843,3,Fashionistas,4/20/2021
111,Alpha Innovations,Influencer,All Ages,60 days,Facebook,0.05,11789,5.39,Houston,German,659,3670,9,Outdoor Adventurers,4/21/2021
112,DataTech Solutions,Email,All Ages,30 days,Website,0.13,18335,7.58,Los Angeles,Mandarin,552,3464,5,Health & Wellness,4/22/2021
113,TechCorp,Display,Women 35-44,30 days,Google Ads,0.02,19035,2.01,Miami,Mandarin,560,6945,7,Health & Wellness,4/23/2021
114,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.11,17655,4.04,Los Angeles,English,369,8912,4,Health & Wellness,4/24/2021
115,NexGen Systems,Email,Women 25-34,45 days,Google Ads,0.11,6710,2.72,Houston,German,886,6158,7,Fashionistas,4/25/2021
116,NexGen Systems,Social Media,Women 25-34,15 days,Facebook,0.09,9899,3.7,Los Angeles,German,447,4878,8,Tech Enthusiasts,4/26/2021
117,Innovate Industries,Email,All Ages,30 days,Instagram,0.14,7032,7.86,Chicago,Spanish,595,1555,4,Health & Wellness,4/27/2021
118,TechCorp,Social Media,All Ages,45 days,Website,0.05,5174,4.98,Houston,German,438,9741,1,Tech Enthusiasts,4/28/2021
119,Innovate Industries,Display,Women 35-44,15 days,YouTube,0.14,15679,3.71,Los Angeles,German,652,3884,7,Foodies,4/29/2021
120,NexGen Systems,Display,All Ages,45 days,YouTube,0.07,12143,7.65,Miami,Mandarin,802,8897,10,Tech Enthusiasts,4/30/2021
121,Innovate Industries,Email,Women 35-44,45 days,Facebook,0.02,19329,7.58,Houston,English,841,4536,8,Outdoor Adventurers,5/1/2021
122,Innovate Industries,Search,All Ages,60 days,Email,0.09,8854,6.78,Chicago,German,137,4002,6,Tech Enthusiasts,5/2/2021
123,Alpha Innovations,Influencer,Women 35-44,45 days,YouTube,0.04,5232,7.61,New York,German,850,6515,5,Foodies,5/3/2021
124,NexGen Systems,Display,Men 25-34,30 days,Instagram,0.02,13006,3.7,Chicago,Spanish,727,2863,1,Fashionistas,5/4/2021
125,DataTech Solutions,Email,Men 18-24,45 days,Website,0.13,5653,6.08,Chicago,Mandarin,986,4477,10,Foodies,5/5/2021
126,DataTech Solutions,Email,Men 25-34,45 days,Google Ads,0.02,18169,5.5,Miami,English,259,3941,7,Outdoor Adventurers,5/6/2021
127,DataTech Solutions,Social Media,Men 25-34,45 days,Email,0.08,13316,6.15,Los Angeles,Spanish,321,7186,2,Fashionistas,5/7/2021
128,NexGen Systems,Email,All Ages,15 days,Email,0.08,17847,6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,5/8/2021
129,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.06,10639,4.32,New York,Spanish,166,5735,10,Health & Wellness,5/9/2021
130,Innovate Industries,Display,Men 25-34,15 days,YouTube,0.03,10945,3.16,Chicago,Spanish,508,8054,6,Fashionistas,5/10/2021
131,NexGen Systems,Email,Men 18-24,15 days,Instagram,0.11,5167,6.63,New York,Spanish,885,1932,7,Fashionistas,5/11/2021
132,DataTech Solutions,Influencer,Men 25-34,60 days,Google Ads,0.15,8300,6.65,Chicago,Spanish,158,4842,4,Outdoor Adventurers,5/12/2021
133,Innovate Industries,Social Media,Men 25-34,15 days,Instagram,0.14,13469,7.54,Houston,German,857,4028,8,Fashionistas,5/13/2021
134,TechCorp,Search,Men 25-34,30 days,Facebook,0.1,19254,2.41,Miami,English,481,1876,7,Foodies,5/14/2021
135,DataTech Solutions,Display,All Ages,60 days,Google Ads,0.04,10704,6.46,Chicago,French,999,7543,8,Tech Enthusiasts,5/15/2021
136,NexGen Systems,Email,Men 18-24,30 days,Email,0.15,9229,3.56,New York,Spanish,939,5999,8,Tech Enthusiasts,5/16/2021
137,Alpha Innovations,Social Media,Women 35-44,60 days,Instagram,0.1,14125,4.9,Houston,Spanish,885,7833,5,Fashionistas,5/17/2021
138,DataTech Solutions,Influencer,All Ages,60 days,Instagram,0.04,8222,6.17,Houston,Mandarin,666,1435,4,Foodies,5/18/2021
139,NexGen Systems,Email,Men 18-24,45 days,Website,0.07,14226,3.77,Chicago,German,359,9440,8,Outdoor Adventurers,5/19/2021
140,DataTech Solutions,Email,Men 18-24,60 days,Website,0.06,18985,4.61,Miami,English,328,8840,5,Fashionistas,5/20/2021
141,NexGen Systems,Email,Women 25-34,15 days,Email,0.08,5599,3.43,Houston,English,571,2404,3,Fashionistas,5/21/2021
142,Innovate Industries,Influencer,All Ages,45 days,Google Ads,0.08,11952,3.48,Houston,English,845,5702,8,Health & Wellness,5/22/2021
143,Innovate Industries,Display,Women 35-44,15 days,Facebook,0.05,14503,3.8,Miami,Mandarin,585,9150,3,Tech Enthusiasts,5/23/2021
144,DataTech Solutions,Search,Men 25-34,45 days,Instagram,0.11,10404,2.41,New York,German,418,3556,2,Tech Enthusiasts,5/24/2021
145,TechCorp,Social Media,Men 18-24,30 days,Email,0.12,7484,5.86,Houston,English,208,8730,2,Outdoor Adventurers,5/25/2021
146,TechCorp,Search,Men 25-34,60 days,Google Ads,0.03,7428,4.72,Houston,Mandarin,556,5179,4,Tech Enthusiasts,5/26/2021
147,TechCorp,Influencer,Men 25-34,15 days,Facebook,0.1,11495,5.13,Los Angeles,French,734,2612,5,Health & Wellness,5/27/2021
148,TechCorp,Influencer,All Ages,30 days,Facebook,0.13,18957,2.83,Los Angeles,Spanish,643,2939,4,Tech Enthusiasts,5/28/2021
149,NexGen Systems,Display,Men 18-24,45 days,Instagram,0.06,10772,2.94,Chicago,English,165,1496,6,Health & Wellness,5/29/2021
150,TechCorp,Search,Women 35-44,60 days,Instagram,0.14,6896,2.15,Houston,German,693,1290,1,Foodies,5/30/2021
151,NexGen Systems,Search,Men 18-24,60 days,Facebook,0.13,13318,2.98,New York,German,261,1415,6,Foodies,5/31/2021
152,TechCorp,Influencer,Women 35-44,60 days,Website,0.06,7031,5.67,Houston,French,404,8033,6,Tech Enthusiasts,6/1/2021
153,Alpha Innovations,Display,Women 35-44,15 days,Instagram,0.06,5466,2.66,Houston,English,257,5756,2,Tech Enthusiasts,6/2/2021
154,Innovate Industries,Influencer,All Ages,30 days,Instagram,0.11,15303,7.41,Chicago,Spanish,901,8712,2,Foodies,6/3/2021
155,TechCorp,Social Media,Women 35-44,30 days,Instagram,0.13,13157,4.41,New York,German,724,9573,6,Fashionistas,6/4/2021
156,Innovate Industries,Influencer,All Ages,15 days,Instagram,0.07,13197,3.31,Los Angeles,French,672,8765,9,Tech Enthusiasts,6/5/2021
157,Alpha Innovations,Display,Men 25-34,30 days,Facebook,0.09,19723,4.74,Houston,Mandarin,148,2746,8,Outdoor Adventurers,6/6/2021
158,NexGen Systems,Display,Men 18-24,60 days,Google Ads,0.12,18903,7.24,Miami,French,488,4253,1,Tech Enthusiasts,6/7/2021
159,Alpha Innovations,Display,Women 35-44,60 days,Website,0.06,17737,4.23,Houston,Spanish,420,8196,4,Foodies,6/8/2021
160,DataTech Solutions,Social Media,Women 25-34,30 days,Instagram,0.08,16981,5.74,Miami,French,395,7469,6,Foodies,6/9/2021
161,TechCorp,Search,All Ages,45 days,Website,0.05,15993,6.55,Miami,English,616,9536,8,Fashionistas,6/10/2021
162,DataTech Solutions,Social Media,Men 18-24,30 days,YouTube,0.07,7893,5.28,Chicago,German,170,6306,9,Foodies,6/11/2021
163,TechCorp,Email,Women 25-34,15 days,Google Ads,0.04,9858,3.09,Los Angeles,Spanish,957,4396,9,Tech Enthusiasts,6/12/2021
164,NexGen Systems,Influencer,Women 35-44,30 days,Email,0.09,6885,7.65,Houston,Spanish,872,3269,1,Tech Enthusiasts,6/13/2021
165,TechCorp,Email,Men 25-34,30 days,Email,0.07,11587,3.17,Houston,English,716,2676,9,Foodies,6/14/2021
166,NexGen Systems,Email,All Ages,30 days,Facebook,0.15,5202,5.94,New York,German,998,5108,3,Fashionistas,6/15/2021
167,Innovate Industries,Search,Men 18-24,15 days,Instagram,0.08,15651,7.24,Los Angeles,English,481,4165,7,Tech Enthusiasts,6/16/2021
168,NexGen Systems,Display,All Ages,30 days,Website,0.12,11879,8,New York,Spanish,568,4997,6,Outdoor Adventurers,6/17/2021
169,TechCorp,Influencer,Women 25-34,60 days,Email,0.03,12183,4.36,Los Angeles,English,421,6087,10,Tech Enthusiasts,6/18/2021
170,TechCorp,Search,All Ages,30 days,Google Ads,0.07,10690,5.41,Los Angeles,English,797,1306,9,Foodies,6/19/2021
171,TechCorp,Social Media,Men 25-34,30 days,Website,0.06,12886,4.62,Miami,Mandarin,668,2507,8,Foodies,6/20/2021
172,Innovate Industries,Influencer,Men 25-34,15 days,Google Ads,0.09,10854,6.1,Houston,English,303,9453,2,Health & Wellness,6/21/2021
173,DataTech Solutions,Influencer,All Ages,15 days,YouTube,0.11,7170,3.76,Los Angeles,German,540,6422,8,Foodies,6/22/2021
174,Innovate Industries,Display,Men 25-34,45 days,Google Ads,0.15,17414,6.9,Los Angeles,French,801,8439,5,Foodies,6/23/2021
175,Innovate Industries,Search,Men 18-24,15 days,Instagram,0.1,12272,5.29,Los Angeles,French,436,7817,7,Outdoor Adventurers,6/24/2021
176,Innovate Industries,Social Media,All Ages,15 days,Website,0.09,6489,2.22,Chicago,English,683,9143,6,Foodies,6/25/2021
177,Innovate Industries,Display,Women 35-44,60 days,YouTube,0.08,19732,6.06,Chicago,English,862,6773,1,Tech Enthusiasts,6/26/2021
178,Alpha Innovations,Social Media,All Ages,45 days,YouTube,0.09,17837,3.84,Houston,English,944,9536,6,Foodies,6/27/2021
179,Innovate Industries,Display,All Ages,45 days,Email,0.13,11954,4.91,Miami,Mandarin,241,9184,8,Foodies,6/28/2021
180,Alpha Innovations,Display,Women 35-44,30 days,Google Ads,0.01,16862,6.29,Chicago,Spanish,200,1513,9,Tech Enthusiasts,6/29/2021
181,TechCorp,Display,All Ages,45 days,Email,0.07,8076,4.29,New York,Mandarin,883,3400,8,Fashionistas,6/30/2021
182,DataTech Solutions,Influencer,Women 35-44,15 days,Facebook,0.06,19143,2.58,Los Angeles,Spanish,690,1087,7,Tech Enthusiasts,7/1/2021
183,TechCorp,Influencer,Women 35-44,15 days,Instagram,0.06,18350,3.2,New York,Spanish,372,3266,4,Health & Wellness,7/2/2021
184,DataTech Solutions,Social Media,Men 18-24,45 days,Email,0.06,12315,3.97,Chicago,Spanish,505,4099,7,Fashionistas,7/3/2021
185,NexGen Systems,Influencer,Men 25-34,15 days,Instagram,0.14,17598,7.27,Chicago,Mandarin,961,8475,7,Outdoor Adventurers,7/4/2021
186,TechCorp,Email,Women 35-44,30 days,Instagram,0.05,19545,2.57,Houston,German,209,1917,1,Health & Wellness,7/5/2021
187,NexGen Systems,Email,Men 25-34,60 days,Email,0.13,14231,6.28,Chicago,Mandarin,312,8509,3,Health & Wellness,7/6/2021
188,Alpha Innovations,Influencer,Women 25-34,30 days,Instagram,0.11,15162,7.8,Chicago,German,360,6030,8,Tech Enthusiasts,7/7/2021
189,DataTech Solutions,Social Media,Women 25-34,15 days,Email,0.12,15403,6.21,Houston,English,542,6792,6,Foodies,7/8/2021
190,Innovate Industries,Influencer,All Ages,15 days,Email,0.06,5363,5.46,Chicago,German,369,8511,8,Tech Enthusiasts,7/9/2021
191,DataTech Solutions,Social Media,Women 35-44,60 days,Website,0.12,13903,2.46,Chicago,German,461,9733,9,Tech Enthusiasts,7/10/2021
192,TechCorp,Influencer,Men 25-34,45 days,Facebook,0.12,14271,5.64,New York,Mandarin,842,2301,1,Health & Wellness,7/11/2021
193,DataTech Solutions,Social Media,Men 25-34,30 days,Google Ads,0.05,13744,4.7,Miami,German,743,5155,5,Fashionistas,7/12/2021
194,NexGen Systems,Email,All Ages,15 days,Google Ads,0.1,6093,4.28,New York,Mandarin,423,1340,7,Foodies,7/13/2021
195,DataTech Solutions,Email,All Ages,45 days,Email,0.07,5272,3.62,Chicago,Spanish,939,9590,9,Foodies,7/14/2021
196,DataTech Solutions,Display,Women 35-44,30 days,YouTube,0.02,6208,7.31,Houston,Mandarin,257,9939,8,Health & Wellness,7/15/2021
197,Innovate Industries,Influencer,Women 25-34,45 days,Email,0.1,15437,3.72,Los Angeles,English,683,4212,6,Tech Enthusiasts,7/16/2021
198,DataTech Solutions,Display,Men 18-24,15 days,Instagram,0.01,16368,4.37,Los Angeles,Mandarin,433,8942,5,Tech Enthusiasts,7/17/2021
